"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"TP7,TP2,TP8,TP1,TP5,TP10,TP4,TP3,TP11";"TestPoint_2Pads_Pitch2.54mm_Drill0.8mm";9;"TestPoint";;;
2;"H4,H2,H3,H1";"MountingHole_3mm";4;"3mm_Mounting_Hole";;;
3;"C1";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";1;"4.7nF";;;
4;"R8,R9,R7";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";3;"330";;;
5;"D2";"LED_2512_6332Metric_Pad1.52x3.35mm_HandSolder";1;"RED";;;
6;"C9";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";1;"22uF";;;
7;"U4";"MS580502BA01-50";1;"MS580502BA01-50";;;
8;"C3,C4,C5,C7,C8";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";5;"0.1uF";;;
9;"U1";"PIC18F27Q84-E&slash_SP";1;"PIC18F27Q84-E/SP";;;
10;"J4";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
11;"R5,R6";"R_2010_5025Metric_Pad1.40x2.65mm_HandSolder";2;"10k";;;
12;"D11,D1,D8";"LED_2512_6332Metric_Pad1.52x3.35mm_HandSolder";3;"LED_Filled";;;
13;"U2";"SHT40-AD1B-R2";1;"SHT40-AD1B-R2";;;
14;"J3";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
15;"C2";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";1;"100nF";;;
16;"R16,R14,R15";"R_2010_5025Metric_Pad1.40x2.65mm_HandSolder";3;"1k";;;
17;"R2,R1";"R_2010_5025Metric_Pad1.40x2.65mm_HandSolder";2;"60";;;
18;"D9,D10";"LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder";2;"RED";;;
19;"SW1";"SW_Push_SPST_NO_Alps_SKRK";1;"SW_SPST";;;
20;"J7,J6,J5";"PinHeader_1x02_P2.54mm_Vertical";3;"Conn_01x02";;;
21;"D7";"D_2512_6332Metric_Pad1.52x3.35mm_HandSolder";1;"DIODE";;;
22;"R13";"R_2010_5025Metric_Pad1.40x2.65mm_HandSolder";1;"270";;;
23;"U3";"ATA6560-GAQW-VAO";1;"ATA6560-GAQW-VAO";;;
24;"R17";"R_2010_5025Metric_Pad1.40x2.65mm_HandSolder";1;"100";;;
25;"C6";"C_1812_4532Metric_Pad1.57x3.40mm_HandSolder";1;"0.1uF";;;
26;"R4,R3";"R_2010_5025Metric_Pad1.40x2.65mm_HandSolder";2;"10K";;;
27;"R12";"R_2010_5025Metric_Pad1.40x2.65mm_HandSolder";1;"470";;;
28;"U5";"TMP75CIDGKT";1;"TMP75CIDGKT";;;
29;"J2";"PinHeader_1x05_P2.54mm_Vertical";1;"Generic_Conn_01x05";;;
30;"D4";"LED_2512_6332Metric_Pad1.52x3.35mm_HandSolder";1;"YELLOW";;;
31;"D3";"LED_2512_6332Metric_Pad1.52x3.35mm_HandSolder";1;"GREEN";;;
32;"J1";"PinHeader_2x20_P2.54mm_Vertical";1;"Conn_02x20_Odd_Even";;;
